Date;return
10/04/2023;0,00050788
11/04/2023;0,00050788
12/04/2023;0,00050788
13/04/2023;0,00050788
14/04/2023;0,00050788
17/04/2023;0,00050788
18/04/2023;0,00050788
19/04/2023;0,00050788
20/04/2023;0,00050788
24/04/2023;0,00050788
25/04/2023;0,00050788
26/04/2023;0,00050788
27/04/2023;0,00050788
28/04/2023;0,00050788
02/05/2023;0,00050788
03/05/2023;0,00050788
04/05/2023;0,00050788
05/05/2023;0,00050788
08/05/2023;0,00050788
09/05/2023;0,00050788
10/05/2023;0,00050788
11/05/2023;0,00050788
12/05/2023;0,00050788
15/05/2023;0,00050788
16/05/2023;0,00050788
17/05/2023;0,00050788
18/05/2023;0,00050788
19/05/2023;0,00050788
22/05/2023;0,00050788
23/05/2023;0,00050788
24/05/2023;0,00050788
25/05/2023;0,00050788
26/05/2023;0,00050788
29/05/2023;0,00050788
30/05/2023;0,00050788
31/05/2023;0,00050788
01/06/2023;0,00050788
02/06/2023;0,00050788
05/06/2023;0,00050788
06/06/2023;0,00050788
07/06/2023;0,00050788
09/06/2023;0,00050788
12/06/2023;0,00050788
13/06/2023;0,00050788
14/06/2023;0,00050788
15/06/2023;0,00050788
16/06/2023;0,00050788
19/06/2023;0,00050788
20/06/2023;0,00050788
21/06/2023;0,00050788
22/06/2023;0,00050788
23/06/2023;0,00050788
26/06/2023;0,00050788
27/06/2023;0,00050788
28/06/2023;0,00050788
29/06/2023;0,00050788
30/06/2023;0,00050788
03/07/2023;0,00050788
04/07/2023;0,00050788
05/07/2023;0,00050788
06/07/2023;0,00050788
07/07/2023;0,00050788
10/07/2023;0,00050788
11/07/2023;0,00050788
12/07/2023;0,00050788
13/07/2023;0,00050788
14/07/2023;0,00050788
17/07/2023;0,00050788
18/07/2023;0,00050788
19/07/2023;0,00050788
20/07/2023;0,00050788
21/07/2023;0,00050788
24/07/2023;0,00050788
25/07/2023;0,00050788
26/07/2023;0,00050788
27/07/2023;0,00050788
28/07/2023;0,00050788
31/07/2023;0,00050788
01/08/2023;0,00050788
02/08/2023;0,00050788
03/08/2023;0,00049037
04/08/2023;0,00049037
07/08/2023;0,00049037
08/08/2023;0,00049037
09/08/2023;0,00049037
10/08/2023;0,00049037
11/08/2023;0,00049037
14/08/2023;0,00049037
15/08/2023;0,00049037
16/08/2023;0,00049037
17/08/2023;0,00049037
18/08/2023;0,00049037
21/08/2023;0,00049037
22/08/2023;0,00049037
23/08/2023;0,00049037
24/08/2023;0,00049037
25/08/2023;0,00049037
28/08/2023;0,00049037
29/08/2023;0,00049037
30/08/2023;0,00049037
31/08/2023;0,00049037
01/09/2023;0,00049037
04/09/2023;0,00049037
05/09/2023;0,00049037
06/09/2023;0,00049037
08/09/2023;0,00049037
11/09/2023;0,00049037
12/09/2023;0,00049037
13/09/2023;0,00049037
14/09/2023;0,00049037
15/09/2023;0,00049037
18/09/2023;0,00049037
19/09/2023;0,00049037
20/09/2023;0,00049037
21/09/2023;0,00047279
22/09/2023;0,00047279
25/09/2023;0,00047279
26/09/2023;0,00047279
27/09/2023;0,00047279
28/09/2023;0,00047279
29/09/2023;0,00047279
02/10/2023;0,00047279
03/10/2023;0,00047279
04/10/2023;0,00047279
05/10/2023;0,00047279
06/10/2023;0,00047279
09/10/2023;0,00047279
10/10/2023;0,00047279
11/10/2023;0,00047279
13/10/2023;0,00047279
16/10/2023;0,00047279
17/10/2023;0,00047279
18/10/2023;0,00047279
19/10/2023;0,00047279
20/10/2023;0,00047279
23/10/2023;0,00047279
24/10/2023;0,00047279
25/10/2023;0,00047279
26/10/2023;0,00047279
27/10/2023;0,00047279
30/10/2023;0,00047279
31/10/2023;0,00047279
01/11/2023;0,00047279
03/11/2023;0,00045513
06/11/2023;0,00045513
07/11/2023;0,00045513
08/11/2023;0,00045513
09/11/2023;0,00045513
10/11/2023;0,00045513
13/11/2023;0,00045513
14/11/2023;0,00045513
16/11/2023;0,00045513
17/11/2023;0,00045513
20/11/2023;0,00045513
21/11/2023;0,00045513
22/11/2023;0,00045513
23/11/2023;0,00045513
24/11/2023;0,00045513
27/11/2023;0,00045513
28/11/2023;0,00045513
29/11/2023;0,00045513
30/11/2023;0,00045513
01/12/2023;0,00045513
04/12/2023;0,00045513
05/12/2023;0,00045513
06/12/2023;0,00045513
07/12/2023;0,00045513
08/12/2023;0,00045513
11/12/2023;0,00045513
12/12/2023;0,00045513
13/12/2023;0,00045513
14/12/2023;0,00043739
15/12/2023;0,00043739
18/12/2023;0,00043739
19/12/2023;0,00043739
20/12/2023;0,00043739
21/12/2023;0,00043739
22/12/2023;0,00043739
26/12/2023;0,00043739
27/12/2023;0,00043739
28/12/2023;0,00043739
29/12/2023;0,00043739
02/01/2024;0,00043739
03/01/2024;0,00043739
04/01/2024;0,00043739
05/01/2024;0,00043739
08/01/2024;0,00043739
09/01/2024;0,00043739
10/01/2024;0,00043739
11/01/2024;0,00043739
12/01/2024;0,00043739
15/01/2024;0,00043739
16/01/2024;0,00043739
17/01/2024;0,00043739
18/01/2024;0,00043739
19/01/2024;0,00043739
22/01/2024;0,00043739
23/01/2024;0,00043739
24/01/2024;0,00043739
25/01/2024;0,00043739
26/01/2024;0,00043739
29/01/2024;0,00043739
30/01/2024;0,00043739
31/01/2024;0,00043739
01/02/2024;0,00041957
02/02/2024;0,00041957
05/02/2024;0,00041957
06/02/2024;0,00041957
07/02/2024;0,00041957
08/02/2024;0,00041957
09/02/2024;0,00041957
14/02/2024;0,00041957
15/02/2024;0,00041957
16/02/2024;0,00041957
19/02/2024;0,00041957
20/02/2024;0,00041957
21/02/2024;0,00041957
22/02/2024;0,00041957
